questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
householdCarsharing,Radio,True,home,,household.carsharing,"**Autopartage** (ex. : Communauto, Léo) : utilisation comme conducteur(-rice) dans les 6 derniers mois
__Par au moins une personne du ménage__","**Carshare** (ex. : Communauto, Leo): used as driver in the past 6 months
 __by at least one household member__",,,,,sharingMobilitiesConditional,,yesNoDontKnow,,,,True,,,,,
householdBicycleNumber,RadioNumber,True,home,,household.bicycleNumber,"**Vélo(s)** à la disposition de votre ménage 
__Indiquer seulement les vélos des ados ou adultes dans un état utilisable, incluant les vélos à assistance électrique. Ne pas inclure les vélos pour enfants.__","**Bicycles** owned by household members
__Include only bicycles belonging to teenagers or adults that are in usable condition, including electric-assist bicycles. Do not include children’s bicycles.__",,,"min=0
Max=2
overMaxAllowed",,,bicycleNumberValidation,,,,,True,,,,,
householdElectricBicycleNumber,RadioNumber,True,home,,household.electricBicycleNumber,"Parmi ces vélos, combien sont des **vélo(s) à assistance électrique**","Among these bicycles, how many are **electric bicycles** (e-bikes)?",,,"min=0
max=household.bicycleNumber",,hasHouseholdBicycleConditional,bicycleNumberValidation,,,,,True,,,,,
householdBikesharing,Radio,True,home,,household.bikesharing,"**Vélo en libre-service** (ex. BIXI) : utilisation dans les 30 derniers jours
__Par au moins une personne du ménage__","**Bikeshare** (BIXI): used in the last 30 days
__by at least one household member__",,,,,sharingMobilitiesConditional,,yesNoDontKnow,,,,True,,,,,
householdAtLeastOnePersonWithDisability,Radio,True,home,,household.atLeastOnePersonWithDisability,"Y a-t-il au moins une personne dans votre ménage avec une **incapacité permanente qui limite ses déplacements quotidiens**?
__Y compris vous-même__","Is there at least one person in your household having a **permanent disability that limits their daily travel?**
__Including yourself__",,,,,hasHouseholdSize2OrMoreConditional,,yesNoPreferNotToAnswer,,,,True,,,,,
home_save,NextButton,True,home,,home.save,Enregistrer et continuer,Save and continue,,,,,,,,,,,True,,,,,
householdMembers,Custom,True,household,,,,,,,,,,,,,,,True,,,,,
personNickname,String,True,household,householdMembers,nickname,"**Nom ou surnom** pour identifier cette personne pour la suite de l'entrevue
__Peut être un surnom, des initiales, ou encore ce que cette personne est pour vous (ex. : 'Moi', 'Toto', 'Maman', 'PN').
Ce nom est seulement utilisé pour faciliter l'enquête et sera ensuite supprimé.__","**Name or nickname** that will allow you to identify this person for the remainder of the interview
__Can be a nickname, initials, or who this person represents to you (ex: 'Me','Kiddo','Mum','JT').
The name is only used to simplify the response process and will be removed from the final dataset.__",,,,,hasPersonCount2OrMoreCustomConditional,uniqueNicknameCustomValidation,,,,,True,,,,,
personAge,Number,True,household,householdMembers,age,"**Âge** (en années)
__Inscrire 0 pour les bébés de moins de 1 an__","**Age** (in years)
__Enter 0 for babies under the age of 1 year__",,,,,,ageValidation,,,,,True,,,,,
personGender,Radio,True,household,householdMembers,gender,"**Genre**
__Peut différer du sexe assigné à la naissance ou inscrit dans les documents légaux__","**Gender**
__May differ from the sex assigned at birth or that which appears on legal documents.__",,,,,ifAge5orMoreConditional,,maleFemaleCustomPreferNotToAnswer,,,,True,genderCustom,custom,,,"If this value is set and sexAssignedAtBirth is not ‘preferNotToAnswer’, it has been automatically set. It may not match the actual gender"
