choicesName,value,label::fr,label::en,label_one::fr,label_one::en,spreadChoicesName,conditional,hidden
mobilityAssistiveDevices,threeOrFourwheeledScooter,Triporteur ou quadriporteur,Three- or four-wheeled scooter,,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,noSpecificDevice,Aucun matériel spécifique,No specific mobility aids,,,,personMobilityDeviceNotPreferNotToAnswer,
mobilityAssistiveDevices,other,Autre (spécifiez),Other (specify),,,,personMobilityDeviceNotExclusiveAnswer,
mobilityAssistiveDevices,preferNotToAnswer,Je préfère ne pas répondre,I prefer not to answer,,,,personMobilityDeviceNotNone,
paratransitFrequencies,never,Jamais au cours des 12 derniers mois,Never in the last 12 months,,,,,
paratransitFrequencies,1orMorePerYear,1 à quelques jours au cours des 12 derniers mois,1 to a few days in the last 12 months,,,,,
paratransitFrequencies,1to3daysPerMonth,1 à 3 jours par mois,1 to 3 days per month,,,,,
paratransitFrequencies,1to4daysPerWeek,1 à 4 jours par semaine,1 to 4 days per week,,,,,
paratransitFrequencies,5to7daysPerWeek,5 à 7 jours par semaine,5 to 7 days per week,,,,,
paratransitFrequenciesTransit,never,Jamais au cours des 12 derniers mois,Never in the last 12 months,,,,doesNotUseTransitConditional,
paratransitFrequenciesTransit,1orMorePerYear,1 à quelques jours au cours des 12 derniers mois,1 to a few days in the last 12 months,,,,,
paratransitFrequenciesTransit,1to3daysPerMonth,1 à 3 jours par mois,1 to 3 days per month,,,,,
paratransitFrequenciesTransit,1to4daysPerWeek,1 à 4 jours par semaine,1 to 4 days per week,,,,,
paratransitFrequenciesTransit,5to7daysPerWeek,5 à 7 jours par semaine,5 to 7 days per week,,,,,
